band,rows,cells,feature,abs_share,within_cell_share,corr_with_truth_within,r2_within_band,r2_within_alpha,within_frac_of_target_var
d2,648,6,n_customers,0.07779022397102071,0.056490266644515355,0.4104094545808332,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,dimension,0.07601124707010243,0.03304227912386654,0.7231763837731418,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,log_bounding_hypervolume,0.037741542533053674,0.00549009570940379,0.21805271742297366,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,bounding_hypervolume,0.019647903492193898,0.003656753576367149,0.2637449082272058,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,log_node_density,0.0014503430034011047,0.001877230220488818,0.27254104355482006,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,node_density,0.003292228967192008,0.008102792213433553,0.5829010836374869,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,aspect_ratio,0.015389800153815893,0.04993803260503606,0.6287686015391779,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,centroid_dist_mean,0.007694285097756919,0.0005027393521518942,0.05770138655684878,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,centroid_dist_std,0.01724423878475947,0.014306007486515589,0.14965747417022918,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,centroid_dist_max,0.00523155665796968,0.0025758829949977754,0.12081544083890298,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,centroid_dist_iqr,0.006344708043502423,0.004254428081454961,0.10761231851072003,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_edge_mean,0.0026858486464980107,0.0053285203168484795,0.33639963411583773,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_edge_std,0.0032830834832674283,0.0030908204951708472,0.11061796737809115,0.8222554601614933,0.8704029921826377,0.2590023991023086
d2,648,6,mst_edge_skew,0.010461699878346593,0.01571954375010198,0.2737468565245484,0.8222554601614933,0.8704029921826377,0.2590023991023086
