population,n_instances,median,mean,q25,q75,gaussian_reference
batch1,80,2.8300531949553265,15.00590000850111,1.832825661611347,3.1830165794837697,3.0
batch2,50,2.8626690985797927,3.396588206052636,2.676215973440235,3.0801047202850933,3.0
benchmark,210,2.219719327549612,2.372025963703237,2.0279144379930916,2.6813955547886468,3.0
