set,model_coupled,coverage_model,n,mean,sd,min,max,declined
tsplib_euc2d_screened,False,,78,1.1306489636640147,0.05583966964108603,1.0088547752660608,1.3410255874007968,
tsplib_euc2d_accepted,True,GART_2.0,78,1.1306489636640147,0.05583966964108603,1.0088547752660608,1.3410255874007968,
tsplib_noneuc_screened,False,,23,1.184212188315333,0.13859708169960286,1.0062995546866516,1.5107929515418501,si1032
tsplib_noneuc_accepted,True,GART_2.0,22,1.1922991262075455,0.13619133068016795,1.0188845895020189,1.5107929515418501,
