band,rows,group,var_within,r2_mix,r2_z,r2_both,unique_mix,unique_z,r2_z_on_mix
d2,648,size_dim,0.0035482734131628956,0.018765864078689853,0.31146167921707424,0.338408587851753,0.026946908634678746,0.31964272377306313,0.1408774126454152
d2,648,geometric,0.008387789478385912,0.05476487156922727,0.16993202143850172,0.20302276575265787,0.03309074431415615,0.1482578941834306,0.1408774126454152
d2,648,mst_edge,0.00228577588032136,0.1695666596926062,0.08248091944044456,0.1927070059881152,0.11022608654767063,0.023140346295508984,0.1408774126454152
d2,648,mst_topology,0.039841293057867676,0.17043120310956428,0.6431687647468783,0.6771783938258186,0.03400962907894023,0.5067471907162543,0.1408774126454152
d2,648,greedy,0.02621102062135327,0.1049946027055606,0.6734614469181119,0.6790933069756826,0.005631860057570659,0.574098704270122,0.1408774126454152
d2,648,greedy_nn_over_mst,0.02621102062135327,0.1049946027055606,0.6734614469181119,0.6790933069756826,0.005631860057570659,0.574098704270122,0.1408774126454152
d2,648,mst_dominance_ratio,0.015152551789799155,0.18177632201292915,0.5402959434630562,0.5960413619049149,0.05574541844185865,0.4142650398919857,0.1408774126454152
d3_5,1944,size_dim,0.0014471993006603676,0.010559424863542888,0.16021659610934436,0.19096277000719497,0.030746173897850615,0.18040334514365208,0.10609342844303649
d3_5,1944,geometric,0.0033496778661942536,0.03112673754690598,0.03365913903674411,0.05357694629838006,0.019917807261635945,0.022450208751474077,0.10609342844303649
d3_5,1944,mst_edge,0.0012363368994021667,0.12091728752323849,0.030674477813490753,0.1258856894562631,0.09521121164277235,0.004968401933024613,0.10609342844303649
d3_5,1944,mst_topology,0.019879231170859775,0.06609341573703764,0.5748044546888421,0.5817770601677978,0.006972605478955729,0.5156836444307602,0.10609342844303649
d3_5,1944,greedy,0.012292379055912512,0.08247525399489675,0.6013612660472148,0.6039287980935235,0.0025675320463086626,0.5214535440986268,0.10609342844303649
d3_5,1944,greedy_nn_over_mst,0.012292379055912512,0.08247525399489675,0.6013612660472148,0.6039287980935235,0.0025675320463086626,0.5214535440986268,0.10609342844303649
d3_5,1944,mst_dominance_ratio,0.008670943704081762,0.0499498532136734,0.4817900424438478,0.4932257954148348,0.011435752970986979,0.4432759422011614,0.10609342844303649
d6_10,3240,size_dim,0.0011309303060624129,0.001743485454588134,0.29934050161061165,0.3197833383430452,0.020442836732433523,0.31803985288845704,0.037669381344281216
d6_10,3240,geometric,0.0019082101675848466,0.014741758844060926,0.026906097854927036,0.03683283300625284,0.009926735151325805,0.022091074162191915,0.037669381344281216
d6_10,3240,mst_edge,0.0006446564401165512,0.05166089773505267,0.0051188922814876525,0.05255584414146486,0.047436951859977206,0.0008949464064121893,0.037669381344281216
d6_10,3240,mst_topology,0.01314793865967646,0.011312797829942878,0.6080163567342658,0.611817699669885,0.0038013429356191786,0.6005049018399421,0.037669381344281216
d6_10,3240,greedy,0.00769070801688682,0.0464238697164433,0.5953156524301007,0.599926151599885,0.004610499169784399,0.5535022818834417,0.037669381344281216
d6_10,3240,greedy_nn_over_mst,0.00769070801688682,0.0464238697164433,0.5953156524301007,0.599926151599885,0.004610499169784399,0.5535022818834417,0.037669381344281216
d6_10,3240,mst_dominance_ratio,0.006027749963905218,0.006687084576484703,0.5085509735311762,0.5153707079337912,0.006819734402615074,0.5086836233573065,0.037669381344281216
d15_25,1944,size_dim,0.001426675466988557,0.00018174834449591337,0.38819001682223686,0.3950706140279666,0.006880597205729755,0.3948888656834707,0.014125939067584192
d15_25,1944,geometric,0.0012985046851584751,0.015137224490258006,0.028051403481864745,0.03960645020654607,0.011555046724681328,0.024469225716288068,0.014125939067584192
d15_25,1944,mst_edge,0.00038051082739413994,0.014993006814902898,6.746499658571992e-05,0.015496686017271832,0.015429221020686112,0.000503679202368934,0.014125939067584192
d15_25,1944,mst_topology,0.009742981872519402,0.004686794887505008,0.6988013987282211,0.7010468344938722,0.0022454357656510604,0.6963600396063672,0.014125939067584192
d15_25,1944,greedy,0.005450162012610588,0.024971227354284475,0.6961914877296282,0.6999915681543039,0.0038000804246756115,0.6750203408000194,0.014125939067584192
d15_25,1944,greedy_nn_over_mst,0.005450162012610588,0.024971227354284475,0.6961914877296282,0.6999915681543039,0.0038000804246756115,0.6750203408000194,0.014125939067584192
d15_25,1944,mst_dominance_ratio,0.004400177505504609,0.004110849702080421,0.6116560249111218,0.6153826345990656,0.003726609687943805,0.6112717848969852,0.014125939067584192
d30_50,3240,size_dim,0.0012156017211772945,0.00031060405511251776,0.4585927122952923,0.46238554800265297,0.0037928357073606644,0.46207494394754045,0.00923795504337499
d30_50,3240,geometric,0.0015188491119241742,0.006792690406832058,0.0606517616385609,0.06433557987553962,0.00368381823697872,0.05754288946870756,0.00923795504337499
d30_50,3240,mst_edge,0.0003337500327133197,0.003198925321817314,0.003444968791908698,0.007208575587229538,0.0037636067953208396,0.0040096502654122235,0.00923795504337499
d30_50,3240,mst_topology,0.008283409518170942,0.0013487293509081288,0.71962620711574,0.7229807503138562,0.0033545431981162332,0.7216320209629481,0.00923795504337499
d30_50,3240,greedy,0.005277524127305551,0.019376493804977635,0.6843425085993504,0.6880018006565868,0.003659292057236363,0.6686253068516091,0.00923795504337499
d30_50,3240,greedy_nn_over_mst,0.005277524127305551,0.019376493804977635,0.6843425085993504,0.6880018006565868,0.003659292057236363,0.6686253068516091,0.00923795504337499
d30_50,3240,mst_dominance_ratio,0.0033850076333783205,0.002212490809411105,0.6363232225633921,0.6387840649973208,0.002460842433928634,0.6365715741879097,0.00923795504337499
d100,5904,size_dim,0.0012424073398977185,0.00048107301029776117,0.5791468193304155,0.5813262529566616,0.0021794336262461744,0.5808451799463639,0.002297530960241878
d100,5904,geometric,0.002568832877283505,0.0021882776236088475,0.014776099994329606,0.016875232929589035,0.002099132935259429,0.014686955305980187,0.002297530960241878
d100,5904,mst_edge,0.00035330749984146067,0.0019534848244493475,0.0019650614224189233,0.004043403965722003,0.00207834254330308,0.002089919141272656,0.002297530960241878
d100,5904,mst_topology,0.00800511539131716,0.0003525748190604805,0.7233612869440929,0.7259430431646028,0.0025817562205099343,0.7255904683455423,0.002297530960241878
d100,5904,greedy,0.005048079794721767,0.0013925592979665558,0.7400726571129901,0.7401843974770751,0.0001117403640850112,0.7387918381791085,0.002297530960241878
d100,5904,greedy_nn_over_mst,0.005048079794721767,0.0013925592979665558,0.7400726571129901,0.7401843974770751,0.0001117403640850112,0.7387918381791085,0.002297530960241878
d100,5904,mst_dominance_ratio,0.003276992352223276,0.0002374620446947695,0.6849944011103056,0.6876914603603717,0.002697059250066025,0.6874539983156769,0.002297530960241878
