population,instance,n,dimension,rho_nominal,rho_measured,kurtosis,alpha,large_n
benchmark,TSP-line_noise-n40-g1000-4,40,2,,3.110740675972898,1.8270161762263888,1.758601716629041,False
benchmark,TSP-line_noise-n40-g1000-5,40,2,,0.7320643106365534,2.7459031588056377,1.617790830055626,False
benchmark,TSP-line_noise-n40-g10000-1,40,2,,3.4408935139842263,2.200402374846812,1.7588325046815234,False
benchmark,TSP-line_noise-n40-g10000-2,40,2,,3.2190883929345295,2.0878455408255014,1.722535520149554,False
benchmark,TSP-line_noise-n40-g10000-3,40,2,,3.5465428390111247,2.33008741967142,1.762799989280553,False
benchmark,TSP-line_noise-n40-g10000-4,40,2,,2.7185852427012334,1.883027788810949,1.7313869569721505,False
benchmark,TSP-line_noise-n40-g10000-5,40,2,,1.8256561761112462,2.275315083008077,1.8180535732625411,False
benchmark,TSP-line_noise-n400-g1000-1,400,2,,34.20651050938221,2.11854516283738,1.4077496739330695,True
benchmark,TSP-line_noise-n400-g1000-2,400,2,,30.572349744897334,2.1570673479801026,1.4114779369854271,True
benchmark,TSP-line_noise-n400-g1000-3,400,2,,36.13694171802025,1.9756782305233724,1.382042421754634,True
benchmark,TSP-line_noise-n400-g1000-4,400,2,,32.843359281495985,2.198572174998448,1.34929929992247,True
benchmark,TSP-line_noise-n400-g1000-5,400,2,,25.059099987146567,2.036292532612029,1.3718531926548694,True
benchmark,TSP-line_noise-n400-g10000-1,400,2,,6.489312922185702,3.1273366974339893,1.1782060820885525,True
benchmark,TSP-line_noise-n400-g10000-2,400,2,,22.390847348824778,1.8737210138964857,1.3428603552085232,True
benchmark,TSP-line_noise-n400-g10000-3,400,2,,29.19140229713118,1.929218173743128,1.455286185913117,True
benchmark,TSP-line_noise-n400-g10000-4,400,2,,25.882035488658964,1.9512474791582828,1.315184483390769,True
benchmark,TSP-line_noise-n400-g10000-5,400,2,,24.006131238291918,2.0438461072640024,1.3915480653483785,True
benchmark,TSP-line_noise-n5-g1000-1,5,2,,0.048393790244465634,1.8399704847908638,1.995021042332085,False
benchmark,TSP-line_noise-n5-g1000-2,5,2,,0.17826529494788526,1.6655334465905793,1.9434781863262016,False
benchmark,TSP-line_noise-n5-g1000-3,5,2,,0.3964388923253689,2.2215855592453595,1.8762931559396432,False
benchmark,TSP-line_noise-n5-g1000-4,5,2,,0.2089595795774189,2.4062075229521547,1.9470642325285448,False
benchmark,TSP-line_noise-n5-g1000-5,5,2,,0.1653800853532912,1.5086263517359741,1.933760295377936,False
benchmark,TSP-line_noise-n5-g10000-1,5,2,,0.12705637196046304,2.368101942260932,1.9656387906983932,False
benchmark,TSP-line_noise-n5-g10000-2,5,2,,0.12075774512822322,2.4305803072074297,1.9845151164237385,False
benchmark,TSP-line_noise-n5-g10000-3,5,2,,0.3856828244968641,1.789143681161826,1.907316057982476,False
benchmark,TSP-line_noise-n5-g10000-4,5,2,,0.06564972275443881,1.739497599087486,1.9830633750765527,False
benchmark,TSP-line_noise-n5-g10000-5,5,2,,0.39304403771222274,2.296947178441995,1.870244781590872,False
benchmark,TSP-line_noise-n50-g1000-1,50,2,,4.628629605877478,1.7774462835448621,1.7672105582568798,False
benchmark,TSP-line_noise-n50-g1000-2,50,2,,3.7277077401799974,1.7497972169631733,1.7450355935682846,False
benchmark,TSP-line_noise-n50-g1000-3,50,2,,3.8749623682186507,2.039525080397931,1.7048847250049384,False
benchmark,TSP-line_noise-n50-g1000-4,50,2,,4.543577507916932,2.0401971361677864,1.7357520189154438,False
benchmark,TSP-line_noise-n50-g1000-5,50,2,,3.9001502741121534,2.7598759650318607,1.7372661903763376,False
benchmark,TSP-line_noise-n50-g10000-1,50,2,,4.05618422883294,3.2721159374064186,1.6786900173760864,False
benchmark,TSP-line_noise-n50-g10000-2,50,2,,0.9692381104326588,3.2570903346072146,1.5428328811809031,False
benchmark,TSP-line_noise-n50-g10000-3,50,2,,4.502980379742509,2.6492197133472244,1.7297706007740976,False
benchmark,TSP-line_noise-n50-g10000-4,50,2,,0.7033939473794933,2.2602882730739076,1.597525815003666,False
benchmark,TSP-line_noise-n50-g10000-5,50,2,,3.178363652457225,2.1074612831631403,1.6675127576966278,False
benchmark,TSP-line_noise-n500-g1000-1,500,2,,8.892741293605615,2.952179311115137,1.16806827755787,True
benchmark,TSP-line_noise-n500-g1000-2,500,2,,23.900543552179304,2.183893743006921,1.3028295221955168,True
benchmark,TSP-line_noise-n500-g1000-3,500,2,,45.42571236350743,2.1604961835805576,1.3943783055744592,True
benchmark,TSP-line_noise-n500-g1000-4,500,2,,31.866526064091037,2.4369422409746875,1.320654020338357,True
benchmark,TSP-line_noise-n500-g1000-5,500,2,,28.02297185114727,2.454276913842659,1.3253221519548224,True
benchmark,TSP-line_noise-n500-g10000-1,500,2,,33.73948229548373,2.2680777245593697,1.386857192379056,True
benchmark,TSP-line_noise-n500-g10000-2,500,2,,34.373652943791036,1.901102686028493,1.4311880117668572,True
