split,dimension,n,mean,sd,min,max
train,2,4104,1.2610361051227652,0.1836542030632216,1.0962090998889165,1.981717051295943
train,3,4104,1.2091255952457287,0.13947578722410328,1.0864645342323942,1.9714922623576225
train,4,4104,1.1833084878277444,0.11895360628603124,1.077007925633559,1.84133430693876
train,5,4104,1.1671880067360543,0.10782145409879128,1.072740274096118,1.7499251727487668
train,6,4104,1.1564585187667886,0.10249568066684277,1.066707939433362,1.703757522880691
train,7,4104,1.1480854456065464,0.09628093347126901,1.0493162872973578,1.6366814377102565
train,8,4104,1.141873569704649,0.09368870047743386,1.0613419575131287,1.5898063886867733
train,9,4104,1.13655288338539,0.09232303128098512,1.059633364417986,1.5704573658016192
train,10,4104,1.1320626417918038,0.08922881677913935,1.0596410424973395,1.5571088842745395
train,15,4104,1.1172152386084424,0.08345265391432308,1.0,1.485579876290348
train,20,4104,1.1081398399759799,0.08052020773753482,1.0451155736368074,1.4892815394460193
train,25,4104,1.1019704989395023,0.07887767822997735,1.040502453827657,1.4869016226975444
train,30,4104,1.0976461747170712,0.07810711763217118,1.021854797258022,1.420351513806436
train,35,4104,1.0940663308844798,0.07712894256246752,1.0083792229953434,1.4047837550650326
train,40,4104,1.091341972803233,0.07700837476059945,1.0212981754699095,1.401872421123334
train,45,4104,1.0887648782068728,0.07646437266581144,1.0074295879568835,1.400100940426478
train,50,4104,1.0869438270431873,0.07623806966057914,1.0172487927028646,1.3767001828660592
