table,bucket,bucket_slug,bucket_count,model,display,N,SDPE_pct,SDPE_lo,SDPE_hi,MAPE_pct,MedAPE_pct,MSPE_pct,RMSPE_pct,R2,R2_alpha,time_ms
2d_by_genclass,Biased,biased,840,MST_Only,$L_{\mathrm{MST}}$ ($\alpha=1$),840,8.96545517495991,8.364480102051262,9.531940521853235,18.357329362746693,14.75393545944575,-18.357329362746693,20.42731597838421,0.9725745855040444,-2.012482476169758,23.5823500261176
2d_by_genclass,Biased,biased,840,Asymptotic_MST,Asymptotic MST ratio,840,10.08843826669,9.376497130389152,10.694537876885546,8.22088349527656,4.0762969851668736,-8.131040022146172,12.952576419361144,0.9977578057488279,-0.47456063532630366,21.46520002861505
2d_by_genclass,Biased,biased,840,BHH_region,BHH (sampling region),840,21.007436331336095,19.937971524411505,22.01953886740726,19.488598260829548,14.237363250032436,15.363275669827267,26.01571157281398,0.8990979891841218,---,0.08314999286085367
2d_by_genclass,Biased,biased,840,LGBM_V4,GART 2.0 (32-feature variant),840,2.3605437517575054,2.1908302776502175,2.521084937462325,1.7544008795023383,1.2595021270060616,0.4291310911671919,2.3978504468499002,0.9996823352793712,0.9642662441112068,34.11354999116155
2d_by_genclass,Biased,biased,840,Interp_V3,Interpretable (same features),840,2.8989043695246473,2.682661866874575,3.11972147838108,2.0061568677842243,1.3350010635899086,0.05657888615429918,2.897730728153353,0.9995798428211887,---,327.50079999823356
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,GART_2.0,GART 2.0,210,1.9182601540514892,1.6640974625548701,2.1882354538442783,7.06809920163421,7.637138006478985,7.06809920163421,7.322583277570891,0.9923133881822505,0.09048389358063669,103.33179999724955
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,GART,GART 1.0,210,4.9710949076080695,4.508587933259872,5.434295847508939,11.903391629539612,9.77470516920226,11.903391629539612,12.8951479906968,0.9850695367571255,-1.8711017042446243,45.142899994971145
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,MST_Ratio,Fixed MST scaling,210,6.457000881029074,4.967791499342059,7.6483649686030155,5.806705897610365,5.635056429988647,2.6144640425403334,6.951959808354548,0.9939525819166107,-0.07748048573207433,18.1920000031823
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,Hilbert,Custom Hilbert sort,210,6.858765280132539,6.164274657606905,7.520428583168058,16.13931331301591,15.809642632293443,16.139313021572,17.529862329864624,0.9723304410423744,---,0.92934998974665
2d_by_genclass,Geometric: Grid\textsuperscript{$\dagger$},geometric_grid,210,Linear_V3,Linear (28-feature block),210,2.2566456713853134,1.9908441755349424,2.4967409144164496,6.4629652537072575,7.28039004407988,6.4629652537072575,6.843838089580947,0.9899262283439034,0.20060006678660225,69.62734999251549
